model,input_size,output_size,config,index,batch_size,latency_total_diff_%,latency_mean_diff_%,latency_p50_diff_%,throughput_value_diff_%
Llama-3.1-70B,2048,128,nf4,decode,1,-0.0793356044368528,-0.07933560443683714,-0.053966730223560556,-0.07567371630161412
Llama-3.1-70B,2048,128,nf4,decode,4,26.08025334289086,26.08025334289086,26.095773909284038,35.28432324118562
Llama-3.1-70B,2048,128,nf4,decode,8,24.98334581775045,24.98334581775045,25.010295404193254,33.306212601575375
Llama-3.1-70B,2048,128,nf4,decode,16,23.84905196273286,23.84905196273287,23.794075735335745,31.318128765857928
Llama-3.1-70B,2048,128,nf4,prefill,1,10.868381132278799,10.86838113227878,10.829394150465504,12.193833541413417
Llama-3.1-70B,2048,128,nf4,prefill,4,3.7572709207566946,3.7572709207566874,3.746044809410814,3.9040440108606713
Llama-3.1-70B,2048,128,nf4,prefill,8,1.8515434276331633,1.8515434276331753,1.8233199863395404,1.8864834609678447
Llama-3.1-70B,2048,128,nf4,prefill,16,0.9874609809791932,0.9874609809792059,0.9837740105587837,0.9973090183956521
