model,input_size,output_size,config,index,batch_size,latency_total_diff_%,latency_mean_diff_%,latency_p50_diff_%,throughput_value_diff_%
Llama-3.1-70B,2048,128,nf4,decode,1,-2.1009749069479047,-2.1009749069478936,-2.069588118270134,-2.0576701177165657
Llama-3.1-70B,2048,128,nf4,decode,4,22.595243272199166,22.595243272199166,22.644826087150335,29.192574403620824
Llama-3.1-70B,2048,128,nf4,decode,8,22.710988336452406,22.710988336452402,22.721025066116017,29.391407998704036
Llama-3.1-70B,2048,128,nf4,decode,16,21.556913153203634,21.556913153203634,21.53096108711726,27.482992255858154
Llama-3.1-70B,2048,128,nf4,prefill,1,9.188972020442472,9.188972020442487,9.188181512969097,10.122738039556296
Llama-3.1-70B,2048,128,nf4,prefill,4,3.1727806236908047,3.1727806236907856,3.1861293197394183,3.2770950834069406
Llama-3.1-70B,2048,128,nf4,prefill,8,1.69510250025084,1.6951025002508437,1.682539101128229,1.72510221828583
Llama-3.1-70B,2048,128,nf4,prefill,16,0.8456346534778412,0.8456346534778398,0.8306483428318661,0.8538257640440893
